title,author,is_loaned,copies,genre,year,available_copies,loaned_copies
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,3,0
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,0,3
Great Expectations,Charles Dickens,No,3,Classic,1861,3,0
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,3,0
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,3,0
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,0,3
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,0,3
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,3,0
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,3,0
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,3,0
